Common Name,Scientific name,Description,Diet,Habitat 
Red-shouldered Hawk,Buteo lineatus  ,"Whether wheeling over a swamp forest or whistling plaintively from a riverine park, a Red-shouldered Hawk is typically a sign of tall woods and water. It’s one of our most distinctively marked common hawks, with barred reddish-peachy underparts and a strongly banded tail. In flight, translucent crescents near the wingtips help to identify the species at a distance. These forest hawks hunt prey ranging from mice to frogs and snakes ","Red-shouldered Hawks eat mostly small mammals, lizards, snakes, and amphibians. They hunt from perches below the forest canopy or at the edge of a pond, sitting silently until they sight their prey below. Then they descend swiftly, gliding and snatching a vole or chipmunk off the forest floor. They also eat toads, snakes, and crayfish. They occasionally eat birds, sometimes from bird feeders; recorded prey include sparrows, starlings, and doves. ","Red-shouldered Hawks are forest raptors. In the East, they live in bottomland hardwood stands, flooded deciduous swamps, and upland mixed deciduous–conifer forests. They tend to live in stands with an open subcanopy, which makes it easier for them to hunt. They are not exclusively birds of deep forest, though; you’ll find Red-shouldered Hawks in some suburban areas where houses or other buildings are mixed into woodlands. In the West, they live in riparian and oak woodlands, and also in eucalyptus groves and some residential areas "
Swainson's Hawk,Buteo swainsoni  ,"A classic species of the open country of the Great Plains and the West, Swainson’s Hawks soar on narrow wings or perch on fence posts and irrigation spouts. These elegant gray, white, and brown hawks hunt rodents in flight, wings held in a shallow V, or even run after insects on the ground. In fall, they take off for Argentine wintering grounds—one of the longest migrations of any American raptor—forming flocks of hundreds or thousands as they travel ","Swainson’s Hawks eat mainly mammals and insects. Mammals make up the bulk of the diet during breeding season, when adults prey on ground squirrels, gophers, mice, voles, and rabbits. These opportunistic feeders also eat bats, snakes, lizards, and birds. Regional diets can vary significantly: for instance, in one region near Alberta, Burrowing Owls were a major part of the diet; in Utah, rabbits accounted for more than half the prey taken. When they’re not breeding, Swainson’s Hawks rely almost exclusively on insect prey, especially crickets, grasshoppers, and dragonflies, often catching and eating them on the wing. They also eat butterflies, moths, and beetles ","Swainson’s Hawks favor open habitats for foraging. Although much of their native prairie and grassland habitat has been converted to crop and grazing land, these hawks have adjusted well to agricultural settings. You’ll find them searching for prey in hay and alfalfa fields, pastures, grain crops, and row crops, or perched atop adjacent fence posts and overhead sprinkler systems. They rely on scattered stands of trees near agricultural fields and grasslands for nesting sites "
Red-tailed Hawk,Buteo jamaicensis ,"This is probably the most common hawk in North America. If you’ve got sharp eyes you’ll see several individuals on almost any long car ride, anywhere. Red-tailed Hawks soar above open fields, slowly turning circles on their broad, rounded wings. Other times you’ll see them atop telephone poles, eyes fixed on the ground to catch the movements of a vole or a rabbit, or simply waiting out cold weather before climbing a thermal updraft into the sky ","Mammals make up the bulk of most Red-tailed Hawk meals. Frequent victims include voles, mice, wood rats, rabbits, snowshoe hares, jackrabbits, and ground squirrels. The hawks also eat birds, including pheasants, bobwhite, starlings, and blackbirds; as well as snakes and carrion. Individual prey items can weigh anywhere from less than an ounce to more than 5 pounds. ","Red-tailed Hawks occupy just about every type of open habitat on the continent. This includes desert, scrublands, grasslands, roadsides, fields and pastures, parks, broken woodland, and (in Mexico) tropical rainforest."
Ferruginous Hawk,Buteo regalis ,"Found in prairies, deserts, and open range of the West, the regal Ferruginous Hawk hunts from a lone tree, rock outcrop, or from high in the sky. This largest of North American hawks really is regal—its species name is regalis—with a unique gray head, rich, rusty (ferruginous) shoulders and legs, and gleaming white underparts. A rarer dark-morph is reddish-chocolate in color. Ferruginous Hawks eat a diet of small mammals, sometimes standing above prairie dog or ground squirrel burrows to wait for prey to emerge. ","Ferruginous Hawks have a limited diet of small mammals: rabbits, hares, ground squirrels, prairie dogs, and pocket gophers. West of the continental divide their main prey items are jackrabbits and cottontail rabbits; east of the divide they eat mostly ground squirrels and prairie dogs. Their diet occasionally includes amphibians, reptiles, insects, and birds. They hunt at any time of day using four methods: standing on the ground and striking, detecting prey from a nearby perch, searching on the wing, and (in strong wind) hovering or kiting in place. They sometimes walk, hop, and run on the ground after their prey. On communal feeding grounds in winter, they flush competitors away from their prey by hopping with outstretched wings. ","Ferruginous Hawks are open-country birds that breed in grasslands, sagebrush country, saltbush-greasewood shrublands, and edges of pinyon-juniper forests at low to moderate elevations. Their breeding habitat includes features such as cliffs, outcrops, and tree groves for nesting. West of the Rockies, Ferruginous Hawks spend the winter in grasslands or deserts with abundant rabbits, pocket gophers, or prairie dogs. East of the Rockies they live mostly in grasslands, especially those with abundant prairie dogs. "
Rough-legged Hawk,Buteo lagopus ,"The Rough-legged Hawk spends the summer capturing lemmings on the arctic tundra, tending a cliffside nest under a sun that never sets. Winter is the time to see this large, open-country hawk in southern Canada and the U.S., where it may be perched on a pole or hovering over a marsh or pasture on the hunt for small rodents. Found globally across northern latitudes, this species occurs in both light and dark forms. ","On their arctic breeding grounds they eat mostly small rodents such as lemmings and voles, along with some medium-sized mammals—arctic ground squirrels, young hares, pocket gophers—and birds such as ptarmigan and Lapland Longspurs. On their wintering grounds, they eat mostly voles, mice, and shrews. The Rough-legged Hawk hunts on the wing either by pursuing prey or by hovering into the wind and dropping down on prey. They also hunt from elevated perches such as utility poles, trees, fence posts, and haystacks, particularly in winter. They sometimes feed on carrion or steal from other hawks and ravens ","Rough-legged Hawks breed in open country of the arctic, both in North America and Eurasia. They nest on cliffs and outcroppings in low-lying boreal forest, treeless tundra, uplands, and alpine regions, both inland and coastal. During years of abundant prey their breeding range extends south into forested taiga. In tree-covered areas they hunt over open bogs and other clearings. They winter across southern Canada and most of the United States—west, central, and northeast—in open country, including prairies, shrubsteppes, semideserts, fields, marshes, bogs, and dunes "
Golden Eagle,Aquila chrysaetos  ,"The Golden Eagle is one of the largest, fastest, nimblest raptors in North America. Lustrous gold feathers gleam on the back of its head and neck; a powerful beak and talons advertise its hunting prowess. You're most likely to see this eagle in western North America, soaring on steady wings or diving in pursuit of the jackrabbits and other small mammals that are its main prey. Sometimes seen attacking large mammals, or fighting off coyotes or bears in defense of its prey and young, the Golden Eagle has long inspired both reverence and fear ","Golden Eagles prey mainly on small to medium-sized mammals, including hares, rabbits, ground squirrels, prairie dogs, and marmots. Black-tailed jackrabbits are a key prey species throughout much of their range. These eagles are also capable of taking larger bird and mammal prey, including cranes, swans, deer, and domestic livestock. They have even been observed killing seals, mountain goats, bighorn sheep, pronghorn, coyotes, badgers, and bobcats. In addition to live prey, Golden Eagles often feed on carrion, following crows and other scavengers to a meal. They also catch fish, rob nests, and steal food from other birds ","Golden Eagles live in open and semiopen country featuring native vegetation across most of the Northern Hemisphere. They avoid developed areas and uninterrupted stretches of forest. They are found primarily in mountains up to 12,000 feet, canyonlands, rimrock terrain, and riverside cliffs and bluffs. Golden Eagles nest on cliffs and steep escarpments in grassland, chapparal, shrubland, forest, and other vegetated areas. "
,,,,
,,,,
Virginia Rail,Rallus limicola  ," secretive bird of freshwater marshes, the Virginia Rail most often remains hidden in dense vegetation. It possesses many adaptations for moving through its habitat, including a laterally compressed body, long toes, and flexible vertebrae. ","Insects, insect larvae, other aquatic invertebrates, fish, frogs, and small snakes. ",Freshwater marshes; occasionally inhabits salt marshes. Lives in dense emergent vegetation 
Sora,Porzana carolina  ,"A small, secretive bird of freshwater marshes, the Sora is the most common and widely distributed rail in North America. Its distinctive descending whinny call can be easily heard from the depths of the cattails, but actually seeing the little marsh-walker is much more difficult. ",Seeds and aquatic invertebrates. ,Breeds in shallow wetlands with lots of emergent vegetation. 
Common Gallinule,Gallinula galeata ,"The Common Gallinule inhabits marshes and ponds from Canada to Chile. Vocal and boldly marked with a brilliant red shield over the bill, the species can be quite conspicuous. It sometimes uses its long toes to walk atop floating vegetation. This species was formerly called the Common Moorhen and is closely related to moorhen species in the Old World ","Seeds of grasses and sedges, and some snails. ","Freshwater or brackish marshes with tall emergent vegetation, ponds, canals, and rice fields. "
American Coot,Fulica americana ,"The waterborne American Coot is one good reminder that not everything that floats is a duck. A close look at a coot—that small head, those scrawny legs—reveals a different kind of bird entirely. Their dark bodies and white faces are common sights in nearly any open water across the continent, and they often mix with ducks. But they’re closer relatives of the gangly Sandhill Crane and the nearly invisible rails than of Mallards or teal. ","Eats mainly aquatic plants including algae, duckweed, eelgrass, wild rice, sedges, hydrilla, wild celery, waterlilies, cattails, water milfoil; when on land they also pick at terrestrial plants and sometimes eat grains or leaves of oak, elm, and cypress trees. They’re not exclusively vegetarian. You may also see them eating insects (beetles, dragonflies, and others), crustaceans, snails, and small vertebrates such as tadpoles and salamanders ","The American Coot inhabits a wide variety of freshwater wetlands from prairie potholes to swamps and marshes to suburban park and sewage ponds to the edges of large lakes. Two features generally characterize all bodies of water where coots breed: (1) heavy stands of emergent aquatic vegetation along at least some portion of the shoreline and (2) at least some depth of standing water within those stands of vegetation. Seasonal wetlands used during years of high water, while drought years cause breeding to be limited to permanent wetlands."
,,,,
Sandhill Crane,Antigone canadensis ,"Whether stepping singly across a wet meadow or filling the sky by the hundreds and thousands, Sandhill Cranes have an elegance that draws attention. These tall, gray-bodied, crimson-capped birds breed in open wetlands, fields, and prairies across North America. They group together in great numbers, filling the air with distinctive rolling cries. Mates display to each other with exuberant dances that retain a gangly grace. Sandhill Crane populations are generally strong, but isolated populations in Mississippi and Cuba are endangered ","The omnivorous Sandhill Crane feeds on land or in shallow marshes where plants grow out of the water, gleaning from the surface and probing with its bill. Its diet is heavy in seeds and cultivated grains, but may also include berries, tubers, small vertebrates, and invertebrates. Nonmigratory populations eat adult and larval insects, snails, reptiles, amphibians, nestling birds, small mammals, seeds, and berries. ","Sandhill Cranes breed in open wetland habitats surrounded by shrubs or trees. They nest in marshes, bogs, wet meadows, prairies, burned-over aspen stands, and other moist habitats, preferring those with standing water. Breeders gravitate toward the edges between wetland and upland habitats, while nonbreeders may prefer open, grassy sites. Sandhill Cranes winter in the southern U.S. and northern Mexico, roosting on shallow lakes or rivers at night and spending the day in irrigated croplands, pastures, grasslands, or wetlands. "
,,,,
Black-bellied Plover,Pluvialis squatarola ,"A large shorebird of coastal beaches, the Black-bellied Plover is striking in its black-and-white breeding plumage. It is the largest plover in North America and can be found along the coasts in winter northward to Massachusetts and British Columbia. ","Insects on breeding grounds. Invertebrates, primarily polychaetes (especially slender worms), bivalves, and crustaceans on wintering grounds. ",Nests in Arctic lowlands on dry tundra. Winters on coastal beaches and estuaries. May use flooded pasture and agricultural land. 
American Golden-Plover,Pluvialis dominica  ,"A large shorebird of pastures, open ground, and mudflats, the American Golden-Plover makes one of the longest migratory journeys of any shorebird. It breeds on the high Arctic tundra of Alaska and Canada and winters in the grasslands of central and southern South America. ","Invertebrates, berries, leaves, and seeds.","Breeds on Arctic tundra, especially in low vegetation on rocky slopes. Winters in grazed grasslands. On migration found in prairie, pastures, tilled farmland, golf courses, airports, mudflats, shorelines, and beaches. "
Pacific Golden-Plover,Pluvialis fulva  ,"A beautiful shorebird, the Pacific Golden-Plover breeds in western Alaska and Siberia and winters on islands across the Pacific Ocean, through southeast Asia, to northeastern Africa. It is uncommon in North America, found breeding in Alaska, and migrating and wintering in small numbers along the Pacific Coast ","Invertebrates, berries, leaves, and seeds ","Breeds on Arctic tundra, especially in vegetation in low areas with few rocks. Winters in cultivated fields, pastures, salt marshes, airports, parks, lawns, golf courses, and clearings in wooded areas. On migration found in prairie, pastures, tilled farmland, golf courses, airports, mudflats, shorelines, and beaches. "
Snowy Plover,Charadrius nivosus  ,"A small plover of beaches and barren ground, the Snowy Plover can be found across North and South America, Eurasia, and Africa. In North America it is restricted to the Gulf and Pacific coasts of the United States, and scattered inland localities from Saskatchewan to California and Texas. ",Terrestrial and aquatic invertebrates. ,"Barren to sparsely vegetated sand beaches, dry salt flats in lagoons, dredge spoils deposited on beach or dune habitat, levees and flats at salt-evaporation ponds, river bars, along alkaline or saline lakes, reservoirs, and ponds. "
Semipalmated Plover,Charadrius semipalmatus  ,"A small dark shorebird with a single band across its chest, the Semipalmated Plover is the most common plover seen on migration in most areas. ",,
Killdeer,Charadrius vociferus  ,"A shorebird you can see without going to the beach, Killdeer are graceful plovers common to lawns, golf courses, athletic fields, and parking lots. These tawny birds run across the ground in spurts, stopping with a jolt every so often to check their progress, or to see if they’ve startled up any insect prey. Their voice, a far-carrying, excited kill-deer, is a common sound even after dark, often given in flight as the bird circles overhead on slender wings ","Feeds primarily on invertebrates, such as earthworms, snails, crayfish, grasshoppers, beetles, and aquatic insect larvae. Follows farmers' plows in hopes of retrieving any unearthed worms or insect larvae. Will also eat seeds left in agricultural lands. An opportunistic forager, Killdeer have been observed hunting frogs and eating dead minnows ","Killdeer inhabit open areas such as sandbars, mudflats, and grazed fields. They are probably most familiar around towns, where they live on lawns, driveways, athletic fields, parking lots, airports, and golf courses. Generally the vegetation in fields inhabited by Killdeer is no taller than one inch. You can find Killdeer near water, but unlike many other shorebirds, they are also common in dry areas. "
Mountain Plover,Charadrius montanus ,"A native of the short-grass prairie, the Mountain Plover is a dull-colored shorebird of open, dry areas. Despite its name, it breeds in the high tablelands, not the mountains ",,"Breeds on open plains at moderate elevations. Winters in short-grass plains and fields, plowed fields, and sandy deserts. "
,,,,
Black-necked Stilt,Himantopus mexicanus  ,"A striking black-and-white bird with very long, thin red legs, the Black-necked Stilt is found along the edges of shallow water in open country ","Black-necked Stilts wade in shallow waters to capture their meals of aquatic invertebrates and fish. They often consume such fare as crawfish, brine flies, brine shrimp, beetles, water boatmen, and tadpoles. They peck, snatch, and plunge their heads into the water in pursuit of their food, and will herd fish into shallow waters to trap them there ","Black-necked Stilts inhabit shallow wetlands from the western United States to Central America and parts of South America. In the United States, Black-necked Stilts are commonly found in salt ponds, flooded lowlands, or shallow lagoons. Human-maintained wetlands such as sewage ponds or flooded pastures are particularly suitable habitats for these birds, since such environments have some sparse vegetation without being too overgrown. The endangered Hawaiian subspecies, the Ae'o, lives in wetlands, mudflats, and ponds on all the major islands. "
American Avocet,Recurvirostra americana  ,"With its elegant profile and striking coloration, the American Avocet is unique among North American birds. In summer it can be found in temporary and unpredictable wetlands across western North America where it swings its long upturned bill through the shallow water to catch small invertebrates. ",Aquatic invertebrates ,Shallow fresh and saltwater wetlands. 
,,,,
Spotted Sandpiper,Actitis macularius ,"The dapper Spotted Sandpiper makes a great ambassador for the notoriously difficult-to-identify shorebirds. They occur all across North America, they are distinctive in both looks and actions, and they're handsome. They also have intriguing social lives in which females take the lead and males raise the young. With their richly spotted breeding plumage, teetering gait, stuttering wingbeats, and showy courtship dances, this bird is among the most notable and memorable shorebirds in North America ","Spotted Sandpipers eat mostly small invertebrates such as midges, mayflies, flies (particularly their aquatic larvae), grasshoppers, beetles, worms, snails, and small crustaceans. They also eat small fish and may pick at dead fish as well. Spotted Sandpipers are active foragers—in addition to probing into sand or mud with their bills like most sandpipers, they also lunge at moving prey, pick insects off plants, or snap at airborne prey ","Spotted Sandpipers are the most widespread sandpiper in North America, and they are common near most kinds of freshwater, including rivers and streams, as well as near the sea coast. Their range includes water bodies in otherwise arid parts of the continent, and it extends into the mountains, where they may occur upwards of 14,000 feet above sea level. Breeding territories generally need to have a shoreline, a semiopen area where the nest will be, and patches of dense vegetation for sheltering the chicks. Spotted Sandpipers spend the winter along the coasts of North America or on beaches, mangroves, rainforest, and cloud forest up to 6,000 feet elevation in Central and South America. "
Solitary Sandpiper,Tringa solitaria  ,"The Solitary Sandpiper is commonly seen in migration along the banks of ponds and creeks. While not truly solitary, it does not migrate in large flocks the way other shorebirds do. ",,"Breeds in taiga, nesting in trees in deserted songbird nests. In migration and winter found along freshwater ponds, stream edges, temporary pools, flooded ditches and fields, more commonly in wooded regions, less frequently on mudflats and open marshes "
Wandering Tattler,Tringa incana ,"A characteristic bird of the rocky Pacific Coast, the Wandering Tattler can be seen bobbing and teetering among the rocks and waves during winter and migration. Some individuals spend the summer along the southern part of the range rather than go with the rest of the birds to their breeding grounds in the mountains of Alaska and northwestern Canada. ",,
Greater Yellowlegs,Tringa melanoleuca  ,"A common, tall, long-legged shorebird of freshwater ponds and tidal marshes, the Greater Yellowlegs frequently announces its presence by its piercing alarm calls. ","Small aquatic and terrestrial invertebrates, small fish, frogs, and occasionally seeds and berries ","Breeds in muskeg, wet bogs with small wooded islands, and forests (usually coniferous) with abundant clearings. Winters in wide variety of shallow fresh and saltwater habitats. "
Willet,Tringa semipalmata ,"Piercing calls and distinctive wing markings make the otherwise subdued Willet one of our most conspicuous large shorebirds. Whether in mottled brown breeding plumage or gray winter colors, Willets in flight reveal a bold white and black stripe running the length of each wing. These long-legged, straight-billed shorebirds feed along beaches, mudflats, and rocky shores. Willets are common on most of our coastline—learn to recognize them and they’ll make a useful stepping-stone to identifying other shorebirds. ","Western Willets eat a variety of aquatic beetles on their freshwater feeding grounds, along with fish and spiders. In winter, Willets eat small crabs, worms, clams, and other invertebrates from saltwater marshes and along open coastlines. Eastern Willets also take fiddler and mole crabs. ","Along both seacoasts, Willets inhabit open beaches, bayshores, marshes, mudflats, and rocky coastal zones. Their widespread wintering range makes them one of the easiest shorebirds to spot. During the breeding season, western Willets occur far inland, where they nest near marshes and other wetlands, prairie pothole ponds, and wet fields. Eastern birds seek saltmarshes, barrier islands, and barrier beaches for breeding "
Lesser Yellowlegs,Tringa flavipes  ,"The Lesser Yellowlegs is a slender, long-legged shorebird that readily shows off the brightly colored legs that give it its name. It is an active feeder, often running through the shallow water to chase its prey. ","Aquatic and terrestrial invertebrates, particularly flies and beetles. Occasionally small fish and seeds.",Breeds in open boreal forest with scattered shallow wetlands. Winters in wide variety of shallow fresh and saltwater habitats. 
Whimbrel,Numenius phaeopus  ,"One of the most wide-ranging shorebirds in the world, the Whimbrel breeds in the Arctic in the eastern and western hemispheres, and migrates to South America, Africa, south Asia, and Australia. It uses its long, down-curved bill to probe deep in the sand of beaches for invertebrates, but also feeds on berries and insects. ","Primarily marine invertebrates, especially small crabs, but also insects, berries, and even flowers during breeding season. ","Breeds in various tundra habitat, from wet lowlands to dry heath. In migration, frequents various coastal and inland habitats, including fields and beaches. Winters in tidal flats and shorelines, occasionally visiting inland habitats. "
Long-billed Curlew,Numenius americanus ,"North America's largest shorebird, the Long-billed Curlew breeds in the grasslands of the Great Plains and Great Basin. ","Long-billed Curlews eat insects, marine crustaceans, and bottom-dwelling marine invertebrates. The remarkably long, downcurved bill allows curlews to forage for earthworms and other deep-burrowing prey such as shrimp and crabs. Sometimes Long-billed Curlews simply peck at the ground, eating grasshoppers, beetles, caterpillars, spiders, and occasionally small animals ","Long-billed Curlews spend summers in areas of western North America with sparse, short grasses, including shortgrass and mixed-grass prairies as well as agricultural fields. After their young leave the nest they may move to areas with taller, denser grasses. In winter they migrate to the coasts and to interior Mexico, where you can find them in wetlands, tidal estuaries, mudflats, flooded fields, and occasionally beaches "
Marbled Godwit,Limosa fedoa  ,"A large shorebird with a long, upturned bill, the Marbled Godwit breeds in the center of the continent and winters along the coasts. It breeds in the northern prairies, amongst grasslands and scattered wetlands ",,"Breeds in marshes and flooded plains, in migration and winter also on mudflats and beaches. "
Ruddy Turnstone,Arenaria interpres ,"A shorebird that looks almost like a calico cat, the Ruddy Turnstone's orange legs and uniquely patterned black-and-white head and chest make them easy to pick out of a crowd. These long-distance migrants breed in the arctic tundra, but spend the off seasons on rocky shorelines and sandy beaches on both North American coasts (as well as South America, Eurasia, Africa, and Australia). They use their stout, slightly upturned bill to flip debris on the beach to uncover insects and small crustaceans. ","Ruddy Turnstones feed primarily on adult and larvae flies and midges during the breeding season that they uncover by flipping over rocks, pebbles, shells, or seaweed with their stout, slightly upturned bills. They also eat spiders, beetles, bees, and wasps. During the nonbreeding season they have a more diverse diet, eating everything from small crustaceans, to mollusks, to bird eggs. If they come across an unattended gull or tern nest they readily break open the eggs and eat the contents. They also pick at dead fish and mammals that wash up on the shores in early summer when insects have yet to emerge. ","Ruddy Turnstones breed along rocky coasts and in the tundra across the High Arctic. In North America they breed in sparsely vegetated tundra near marshes, streams, and ponds. During migration they stop along coastal rocky and sandy beaches, mudflats, and shorelines of freshwater lakes to refuel. On their wintering grounds they congregate along rocky shorelines, mudflats, deltas, and sandy beaches. "
Black Turnstone,Arenaria melanocephala ,"The Black Turnstone is one of the defining species for the rocky, wave-battered Pacific Coast. It blends in well with the dark rocks, but a careful winter observer will find it from Alaska through Baja California. It is rarely found far from the vicinity of spraying waves ","Aquatic invertebrates: crustaceans, barnacles, and limpets. ","Breeds in sparsely vegetated areas next to coastal meadows.
In winter, found along high-energy rocky shorelines, on beaches near rocky coasts, and on jetties and piers
"
